GEO_ID,County_Area,% Hispanic or Latino,% White alone,% Black or African American alone,% American Indian and Alaska Native alone,% Asian alone,% Two or More Races
0500000US01113,"Russell County, Alabama",6.0,43.9,45.1,0.1,0.5,3.9
0500000US01115,"St. Clair County, Alabama",3.0,83.1,10.0,0.3,0.6,2.7
0500000US01117,"Shelby County, Alabama",7.6,73.2,13.4,0.1,2.2,3.0
0500000US01119,"Sumter County, Alabama",0.7,25.7,68.1,0.1,0.2,5.2
0500000US01121,"Talladega County, Alabama",2.4,61.8,29.8,0.1,0.6,5.0
0500000US01123,"Tallapoosa County, Alabama",2.9,67.8,23.2,0.2,0.6,4.9
0500000US01125,"Tuscaloosa County, Alabama",5.6,58.9,30.8,0.2,1.6,2.8
0500000US01127,"Walker County, Alabama",3.8,86.2,6.3,0.1,0.4,2.9
0500000US01129,"Washington County, Alabama",1.0,65.0,24.1,6.7,0.2,2.7
0500000US01131,"Wilcox County, Alabama",0.0,27.5,70.0,0.0,0.0,2.4
0500000US01133,"Winston County, Alabama",3.7,90.4,1.0,0.1,0.3,4.5
0500000US02013,"Aleutians East Borough, Alaska",8.7,16.9,3.0,39.8,19.0,11.1
0500000US02016,"Aleutians West Census Area, Alaska",13.7,24.2,7.0,7.3,39.5,6.7
0500000US02020,"Anchorage Municipality, Alaska",9.5,54.2,4.8,7.0,9.8,10.7
0500000US02050,"Bethel Census Area, Alaska",1.5,8.3,1.2,83.2,1.6,4.3
0500000US02060,"Bristol Bay Borough, Alaska",5.0,48.6,0.5,20.8,10.0,12.2
0500000US02063,"Chugach Census Area, Alaska",4.8,70.4,1.5,4.6,5.0,11.7
0500000US02066,"Copper River Census Area, Alaska",5.8,53.2,0.2,31.2,0.8,8.2
0500000US02068,"Denali Borough, Alaska",8.1,71.8,2.7,2.9,2.2,10.0
0500000US02070,"Dillingham Census Area, Alaska",3.7,14.3,0.7,69.9,1.8,9.1
0500000US02090,"Fairbanks North Star Borough, Alaska",8.5,66.8,3.9,5.8,2.8,10.6
0500000US02100,"Haines Borough, Alaska",4.6,71.4,0.6,5.6,6.0,11.3
0500000US02105,"Hoonah-Angoon Census Area, Alaska",11.0,48.1,0.3,25.5,2.6,11.7
0500000US02110,"Juneau City and Borough, Alaska",7.1,61.4,0.6,8.4,7.2,13.6
0500000US02122,"Kenai Peninsula Borough, Alaska",4.4,77.5,0.6,6.1,1.8,8.4
0500000US02130,"Ketchikan Gateway Borough, Alaska",5.4,60.4,0.5,12.3,8.9,12.1
0500000US02150,"Kodiak Island Borough, Alaska",8.3,45.0,0.7,10.4,22.2,12.0
0500000US02158,"Kusilvak Census Area, Alaska",1.3,2.9,1.0,86.0,0.3,8.5
0500000US02164,"Lake and Peninsula Borough, Alaska",2.8,15.9,1.4,43.6,1.9,34.3
0500000US02170,"Matanuska-Susitna Borough, Alaska",5.4,75.7,1.1,5.4,1.6,9.8
0500000US02180,"Nome Census Area, Alaska",2.2,13.4,0.6,73.5,1.7,8.5
0500000US02185,"North Slope Borough, Alaska",5.4,31.0,1.2,48.7,5.4,6.2
0500000US02188,"Northwest Arctic Borough, Alaska",2.3,9.2,0.6,80.6,1.6,5.8
0500000US02195,"Petersburg Borough, Alaska",10.9,61.5,1.3,5.0,12.4,8.4
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",3.8,43.6,0.2,36.0,2.2,13.2
0500000US02220,"Sitka City and Borough, Alaska",6.9,57.6,0.3,7.6,8.3,16.5
0500000US02230,"Skagway Municipality, Alaska",6.4,68.8,0.8,5.5,8.0,10.4
0500000US02240,"Southeast Fairbanks Census Area, Alaska",6.0,72.2,0.8,8.9,1.7,10.1
0500000US02275,"Wrangell City and Borough, Alaska",3.8,56.4,0.1,17.7,4.2,16.9
0500000US02282,"Yakutat City and Borough, Alaska",8.7,24.9,4.7,21.1,17.6,21.6
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",2.2,21.6,1.9,65.5,1.4,7.1
0500000US04001,"Apache County, Arizona",6.4,18.8,1.0,71.0,0.7,2.0
0500000US04003,"Cochise County, Arizona",34.7,54.1,2.9,0.5,1.9,5.2
0500000US04005,"Coconino County, Arizona",15.5,52.2,1.4,24.2,1.7,4.5
0500000US04007,"Gila County, Arizona",18.0,61.4,0.5,9.2,0.8,9.8
0500000US04009,"Graham County, Arizona",30.8,52.7,1.6,8.3,0.5,5.7
0500000US04011,"Greenlee County, Arizona",46.7,45.1,1.4,1.8,1.4,3.5
0500000US04012,"La Paz County, Arizona",25.6,57.3,1.4,10.9,1.4,3.3
0500000US04013,"Maricopa County, Arizona",31.2,52.5,5.4,1.3,4.5,4.5
0500000US04015,"Mohave County, Arizona",17.1,74.9,1.0,1.3,1.1,4.1
0500000US04017,"Navajo County, Arizona",10.9,42.7,1.0,41.0,0.4,3.6
0500000US04019,"Pima County, Arizona",36.4,50.5,3.3,1.9,2.9,4.3
0500000US04021,"Pinal County, Arizona",29.8,54.9,5.1,3.4,1.6,4.3
0500000US04023,"Santa Cruz County, Arizona",82.5,15.3,0.1,0.2,0.3,1.2
0500000US04025,"Yavapai County, Arizona",15.4,77.4,0.5,1.0,1.1,3.9
0500000US04027,"Yuma County, Arizona",64.9,29.0,1.5,0.8,1.0,2.3
0500000US05001,"Arkansas County, Arkansas",4.1,67.1,26.1,0.1,0.1,2.4
0500000US05003,"Ashley County, Arkansas",6.4,67.3,23.7,0.1,0.0,2.2
0500000US05005,"Baxter County, Arkansas",2.9,91.5,0.3,0.3,0.7,4.3
0500000US05007,"Benton County, Arkansas",18.5,58.0,1.8,0.6,4.6,15.3
0500000US05009,"Boone County, Arkansas",3.2,92.5,0.3,0.3,0.3,3.3
0500000US05011,"Bradley County, Arkansas",15.9,53.9,25.9,0.0,0.0,3.5
0500000US05013,"Calhoun County, Arkansas",3.0,72.4,17.2,0.6,0.2,6.6
0500000US05015,"Carroll County, Arkansas",15.7,70.3,0.3,0.9,1.3,9.9
0500000US05017,"Chicot County, Arkansas",6.4,38.6,53.3,0.1,0.2,1.3
0500000US05019,"Clark County, Arkansas",5.6,67.3,23.2,0.0,0.8,2.8
0500000US05021,"Clay County, Arkansas",1.1,93.5,0.1,0.4,0.0,4.9
0500000US05023,"Cleburne County, Arkansas",3.0,91.5,0.3,0.4,0.2,4.1
0500000US05025,"Cleveland County, Arkansas",1.4,83.5,12.5,0.0,0.3,2.2
0500000US05027,"Columbia County, Arkansas",3.5,58.2,34.4,0.1,0.4,3.4
0500000US05029,"Conway County, Arkansas",4.7,79.4,11.5,0.4,0.3,3.4
0500000US05031,"Craighead County, Arkansas",6.3,70.8,16.6,0.2,1.2,4.5
0500000US05033,"Crawford County, Arkansas",8.6,79.3,1.3,0.8,1.1,8.1
0500000US05035,"Crittenden County, Arkansas",3.3,38.8,50.9,0.1,0.8,6.2
0500000US05037,"Cross County, Arkansas",2.3,71.6,15.8,0.3,2.9,7.1
0500000US05039,"Dallas County, Arkansas",1.1,52.1,42.6,0.0,0.1,4.1
0500000US05041,"Desha County, Arkansas",7.2,42.5,49.0,0.2,0.0,0.9
0500000US05043,"Drew County, Arkansas",4.4,64.7,26.9,0.0,0.8,3.2
0500000US05045,"Faulkner County, Arkansas",5.7,76.9,11.7,0.2,1.0,4.1
0500000US05047,"Franklin County, Arkansas",3.3,86.1,0.2,1.0,0.6,8.5
0500000US05049,"Fulton County, Arkansas",1.9,92.3,0.3,0.1,0.2,4.8
0500000US05051,"Garland County, Arkansas",7.5,79.2,7.6,0.3,0.7,4.5
0500000US05053,"Grant County, Arkansas",2.9,91.1,2.7,0.1,0.5,2.4
0500000US05055,"Greene County, Arkansas",3.7,88.4,2.2,0.0,0.4,3.9
0500000US05057,"Hempstead County, Arkansas",15.3,51.5,28.6,0.2,0.7,3.6
0500000US05059,"Hot Spring County, Arkansas",4.1,80.6,11.1,0.4,0.0,3.6
0500000US05061,"Howard County, Arkansas",12.6,62.9,20.8,0.1,0.6,3.1
0500000US05063,"Independence County, Arkansas",8.9,82.1,1.8,0.2,0.8,5.3
0500000US05065,"Izard County, Arkansas",3.0,87.4,1.6,0.6,0.5,6.7
0500000US05067,"Jackson County, Arkansas",3.3,75.1,15.2,0.5,0.4,5.6
0500000US05069,"Jefferson County, Arkansas",2.7,36.7,56.3,0.1,0.8,3.0
0500000US05071,"Johnson County, Arkansas",13.9,76.7,1.4,0.2,3.3,4.1
0500000US05073,"Lafayette County, Arkansas",0.6,57.7,36.9,0.2,1.0,3.2
0500000US05075,"Lawrence County, Arkansas",2.2,91.7,0.9,0.0,0.1,4.7
0500000US05077,"Lee County, Arkansas",3.1,39.6,54.5,0.0,0.0,2.7
0500000US05079,"Lincoln County, Arkansas",5.1,61.7,27.7,0.1,0.2,5.1
0500000US05081,"Little River County, Arkansas",4.0,71.6,19.0,0.6,0.4,4.2
0500000US05083,"Logan County, Arkansas",3.5,88.2,1.5,0.1,1.4,5.2
0500000US05085,"Lonoke County, Arkansas",5.4,83.0,5.5,0.1,1.0,4.8
0500000US05087,"Madison County, Arkansas",6.5,68.3,0.1,0.3,0.5,23.2
0500000US05089,"Marion County, Arkansas",2.7,91.4,0.1,1.1,0.8,3.6
0500000US05091,"Miller County, Arkansas",4.1,65.8,25.2,0.6,0.8,3.3
0500000US05093,"Mississippi County, Arkansas",4.9,55.8,34.4,0.0,0.5,4.1
0500000US05095,"Monroe County, Arkansas",2.9,52.8,40.2,0.0,0.7,3.3
0500000US05097,"Montgomery County, Arkansas",5.0,89.3,0.8,1.1,0.9,2.8
0500000US05099,"Nevada County, Arkansas",4.8,62.6,31.2,0.0,0.0,1.2
0500000US05101,"Newton County, Arkansas",1.7,92.5,0.2,0.6,0.0,4.9
0500000US05103,"Ouachita County, Arkansas",2.6,53.9,40.8,0.2,0.3,2.2
0500000US05105,"Perry County, Arkansas",3.5,89.4,3.1,0.4,0.1,3.5
0500000US05107,"Phillips County, Arkansas",2.1,32.9,60.2,0.0,1.1,3.5
0500000US05109,"Pike County, Arkansas",8.0,83.4,3.3,0.1,0.5,4.7
0500000US05111,"Poinsett County, Arkansas",3.8,84.2,5.3,0.5,0.2,5.9
0500000US05113,"Polk County, Arkansas",7.0,86.3,0.1,0.7,0.1,5.4
0500000US05115,"Pope County, Arkansas",11.0,80.6,2.2,0.2,0.8,4.9
0500000US05117,"Prairie County, Arkansas",2.4,83.4,9.9,0.0,0.0,4.1
0500000US05119,"Pulaski County, Arkansas",8.4,48.2,36.7,0.2,2.2,4.1
0500000US05121,"Randolph County, Arkansas",2.6,88.9,1.1,0.3,0.4,3.8
0500000US05123,"St. Francis County, Arkansas",3.7,39.3,54.4,0.2,0.1,2.1
0500000US05125,"Saline County, Arkansas",7.3,78.3,9.3,0.2,1.0,3.5
0500000US05127,"Scott County, Arkansas",7.9,83.1,1.1,0.5,3.0,4.3
0500000US05129,"Searcy County, Arkansas",2.2,88.4,0.0,1.6,0.5,7.3
0500000US05131,"Sebastian County, Arkansas",16.0,66.2,5.1,0.7,4.3,7.4
0500000US05133,"Sevier County, Arkansas",35.5,52.7,4.8,1.7,0.0,3.4
0500000US05135,"Sharp County, Arkansas",2.5,90.9,0.5,0.2,0.7,5.3
0500000US05137,"Stone County, Arkansas",2.2,89.8,0.1,0.9,0.1,6.9
0500000US05139,"Union County, Arkansas",4.7,59.4,32.1,0.2,0.9,2.7
0500000US05141,"Van Buren County, Arkansas",3.4,91.6,0.4,0.7,0.4,3.4
0500000US05143,"Washington County, Arkansas",18.6,59.9,3.0,0.6,2.4,12.2
0500000US05145,"White County, Arkansas",5.0,85.0,4.2,0.1,0.7,4.8
0500000US05147,"Woodruff County, Arkansas",1.4,69.2,24.8,0.0,0.1,3.8
0500000US05149,"Yell County, Arkansas",21.2,73.1,1.5,0.3,1.4,2.2
0500000US06001,"Alameda County, California",23.4,27.4,9.3,0.2,32.7,5.6
0500000US06003,"Alpine County, California",13.4,57.1,0.0,25.1,2.2,1.4
0500000US06005,"Amador County, California",16.0,72.6,1.9,1.0,1.3,5.8
0500000US06007,"Butte County, California",20.0,65.1,1.7,0.8,5.5,5.9
0500000US06009,"Calaveras County, California",14.5,76.4,1.0,1.1,2.2,4.6
0500000US06011,"Colusa County, California",62.9,29.8,1.5,0.5,0.9,2.5
0500000US06013,"Contra Costa County, California",27.6,38.1,7.9,0.2,18.6,6.3
0500000US06015,"Del Norte County, California",19.9,59.9,2.5,5.2,3.2,7.6
0500000US06017,"El Dorado County, California",14.5,73.1,0.8,0.3,5.2,5.5
0500000US06019,"Fresno County, California",54.5,26.2,4.2,0.4,10.9,3.2
0500000US06021,"Glenn County, California",45.0,47.5,0.2,0.7,3.0,3.4
0500000US06023,"Humboldt County, California",14.2,69.5,1.3,3.1,3.0,8.0
0500000US06025,"Imperial County, California",86.0,9.1,2.0,0.6,1.3,0.9
0500000US06027,"Inyo County, California",24.2,58.0,0.5,9.3,1.5,5.7
0500000US06029,"Kern County, California",56.5,29.6,4.8,0.3,5.1,3.0
0500000US06031,"Kings County, California",58.2,28.0,5.8,0.7,3.6,3.2
0500000US06033,"Lake County, California",24.6,64.0,2.0,1.6,1.4,5.6
0500000US06035,"Lassen County, California",22.6,61.3,6.1,2.6,2.0,4.2
0500000US06037,"Los Angeles County, California",48.4,24.7,7.4,0.2,14.9,3.5
0500000US06039,"Madera County, California",60.9,29.9,2.4,0.4,2.4,3.4
0500000US06041,"Marin County, California",19.5,65.1,2.1,0.1,6.1,5.9
0500000US06043,"Mariposa County, California",14.7,74.0,0.9,1.3,1.9,5.8
0500000US06045,"Mendocino County, California",27.6,61.1,0.6,2.5,2.1,5.2
0500000US06047,"Merced County, California",63.4,23.2,2.6,0.2,7.1,2.9
0500000US06049,"Modoc County, California",15.7,74.8,0.6,1.8,2.1,4.7
0500000US06051,"Mono County, California",27.1,64.9,0.1,1.2,1.8,3.9
0500000US06053,"Monterey County, California",61.6,26.9,2.0,0.1,5.5,3.0
0500000US06055,"Napa County, California",36.4,48.6,1.7,0.2,8.1,4.4
0500000US06057,"Nevada County, California",10.7,80.7,0.3,0.3,1.6,5.7
0500000US06059,"Orange County, California",34.2,36.9,1.5,0.1,22.2,4.3
0500000US06061,"Placer County, California",15.7,65.5,1.6,0.2,9.1,7.2
0500000US06063,"Plumas County, California",10.3,80.8,1.0,1.5,0.8,5.3
0500000US06065,"Riverside County, California",51.3,31.0,6.0,0.3,6.9,3.6
0500000US06067,"Sacramento County, California",24.2,40.6,9.0,0.2,17.6,6.7
0500000US06069,"San Benito County, California",62.4,29.2,0.8,0.2,3.5,3.6
0500000US06071,"San Bernardino County, California",55.2,24.7,7.5,0.3,8.1,3.5
0500000US06073,"San Diego County, California",34.6,42.4,4.4,0.2,12.1,5.3
0500000US06075,"San Francisco County, California",16.2,36.8,4.7,0.2,34.9,6.1
0500000US06077,"San Joaquin County, California",42.5,26.8,6.6,0.3,18.2,4.6
0500000US06079,"San Luis Obispo County, California",25.0,64.5,1.1,0.1,3.4,5.1
0500000US06081,"San Mateo County, California",24.9,34.7,2.0,0.1,31.0,5.2
0500000US06083,"Santa Barbara County, California",48.2,40.6,1.5,0.2,5.2,3.7
0500000US06085,"Santa Clara County, California",25.0,27.2,2.2,0.2,40.3,4.2
0500000US06087,"Santa Cruz County, California",35.2,53.9,0.7,0.1,4.7,4.5
0500000US06089,"Shasta County, California",11.8,75.3,0.8,1.3,3.4,6.7
0500000US06091,"Sierra County, California",11.0,86.0,0.3,0.0,0.0,0.7
0500000US06093,"Siskiyou County, California",13.5,73.3,1.3,2.7,1.8,6.5
0500000US06095,"Solano County, California",29.6,33.2,12.3,0.2,15.9,6.9
0500000US06097,"Sonoma County, California",30.0,57.9,1.5,0.3,4.3,5.0
0500000US06099,"Stanislaus County, California",50.0,36.3,2.6,0.3,5.9,4.0
0500000US06101,"Sutter County, California",32.9,40.7,1.6,0.7,17.5,5.1
0500000US06103,"Tehama County, California",29.1,61.4,0.8,1.2,1.7,4.7
0500000US06105,"Trinity County, California",6.1,77.4,1.1,3.7,0.6,6.9
0500000US06107,"Tulare County, California",66.6,25.5,1.3,0.4,3.5,2.0
0500000US06109,"Tuolumne County, California",13.6,78.0,1.8,0.6,1.5,3.8
0500000US06111,"Ventura County, California",44.3,41.9,1.7,0.1,7.1,4.1
0500000US06113,"Yolo County, California",33.4,41.8,2.4,0.4,14.9,6.1
0500000US06115,"Yuba County, California",30.8,49.0,3.8,0.7,7.8,7.0
0500000US08001,"Adams County, Colorado",42.8,45.2,3.3,0.3,3.8,3.7
0500000US08003,"Alamosa County, Colorado",48.2,45.2,1.7,1.0,1.0,2.4
0500000US08005,"Arapahoe County, Colorado",21.7,55.2,10.5,0.3,6.0,5.5
0500000US08007,"Archuleta County, Colorado",16.6,77.4,0.0,1.2,0.7,3.7
0500000US08009,"Baca County, Colorado",10.9,82.8,0.4,0.3,2.6,2.9
0500000US08011,"Bent County, Colorado",32.5,53.7,3.2,1.0,0.9,8.4
0500000US08013,"Boulder County, Colorado",14.7,74.5,0.8,0.2,4.7,4.8
0500000US08014,"Broomfield County, Colorado",14.1,72.4,1.1,0.2,6.9,4.7
0500000US08015,"Chaffee County, Colorado",9.8,84.2,1.2,0.2,0.5,3.6
0500000US08017,"Cheyenne County, Colorado",10.8,78.3,1.8,0.1,0.0,8.3
0500000US08019,"Clear Creek County, Colorado",7.8,85.8,0.1,0.7,1.8,3.0
0500000US08021,"Conejos County, Colorado",49.8,46.0,0.1,0.9,0.4,1.9
0500000US08023,"Costilla County, Colorado",54.7,37.3,1.9,0.2,1.5,4.4
0500000US08025,"Crowley County, Colorado",29.0,55.7,6.6,3.6,0.8,4.0
0500000US08027,"Custer County, Colorado",4.2,88.9,0.0,0.1,1.1,3.7
0500000US08029,"Delta County, Colorado",14.5,79.8,0.7,0.2,0.5,3.1
0500000US08031,"Denver County, Colorado",28.0,54.0,8.6,0.3,3.6,4.8
0500000US08033,"Dolores County, Colorado",9.9,82.7,0.0,2.5,0.0,4.5
0500000US08035,"Douglas County, Colorado",10.2,77.0,1.3,0.2,5.8,4.9
0500000US08037,"Eagle County, Colorado",30.4,62.2,0.6,0.2,1.5,4.7
0500000US08039,"Elbert County, Colorado",9.2,82.8,0.7,0.2,0.7,5.5
0500000US08041,"El Paso County, Colorado",18.7,65.6,5.5,0.2,2.8,6.4
0500000US08043,"Fremont County, Colorado",13.2,77.8,3.3,1.1,0.9,2.9
0500000US08045,"Garfield County, Colorado",32.6,61.5,0.6,0.2,0.8,3.4
0500000US08047,"Gilpin County, Colorado",7.4,84.8,2.6,1.1,1.1,3.0
0500000US08049,"Grand County, Colorado",10.2,76.8,0.2,1.3,0.7,10.1
0500000US08051,"Gunnison County, Colorado",10.0,84.1,0.4,0.3,0.5,3.8
0500000US08053,"Hinsdale County, Colorado",1.9,86.6,0.3,2.9,0.0,8.4
0500000US08055,"Huerfano County, Colorado",30.6,62.9,0.0,1.2,0.2,4.6
0500000US08057,"Jackson County, Colorado",10.5,86.6,1.3,0.4,0.0,1.2
0500000US08059,"Jefferson County, Colorado",16.1,75.2,1.1,0.2,2.9,4.0
0500000US08061,"Kiowa County, Colorado",12.9,83.1,0.0,0.4,1.5,2.0
0500000US08063,"Kit Carson County, Colorado",20.2,74.9,0.1,0.6,0.2,4.0
0500000US08065,"Lake County, Colorado",32.8,58.3,0.1,0.1,0.1,7.7
0500000US08067,"La Plata County, Colorado",12.9,76.1,0.2,4.6,0.8,4.3
0500000US08069,"Larimer County, Colorado",12.9,79.2,1.0,0.2,2.2,3.8
0500000US08071,"Las Animas County, Colorado",38.8,54.2,1.6,0.9,1.3,2.9
0500000US08073,"Lincoln County, Colorado",15.2,74.1,5.5,1.0,0.1,4.0
0500000US08075,"Logan County, Colorado",17.2,75.5,3.6,0.5,0.6,2.1
0500000US08077,"Mesa County, Colorado",15.5,78.4,0.6,0.4,0.9,3.5
0500000US08079,"Mineral County, Colorado",6.3,85.3,0.0,0.1,0.7,7.5
0500000US08081,"Moffat County, Colorado",16.8,76.5,0.0,0.6,0.5,4.4
0500000US08083,"Montezuma County, Colorado",12.5,70.5,0.7,9.0,0.9,5.7
0500000US08085,"Montrose County, Colorado",21.5,73.1,0.4,0.5,0.5,3.7
0500000US08087,"Morgan County, Colorado",38.4,54.6,2.0,0.1,0.7,3.8
0500000US08089,"Otero County, Colorado",42.0,52.4,1.1,0.3,0.7,2.9
0500000US08091,"Ouray County, Colorado",6.1,89.1,0.2,0.0,0.5,3.9
0500000US08093,"Park County, Colorado",7.6,85.3,0.9,0.0,1.1,4.3
0500000US08095,"Phillips County, Colorado",28.9,69.4,0.0,0.0,0.1,1.2
0500000US08097,"Pitkin County, Colorado",11.4,80.3,0.4,0.3,2.0,5.4
0500000US08099,"Prowers County, Colorado",40.5,55.0,1.0,0.0,0.3,3.0
0500000US08101,"Pueblo County, Colorado",42.1,51.0,1.9,0.4,0.8,3.2
0500000US08103,"Rio Blanco County, Colorado",10.8,82.0,0.0,0.6,0.7,5.9
0500000US08105,"Rio Grande County, Colorado",40.7,54.7,0.3,1.1,0.1,2.8
0500000US08107,"Routt County, Colorado",9.0,80.1,0.2,0.3,0.6,9.0
0500000US08109,"Saguache County, Colorado",36.8,54.9,0.0,0.4,1.2,6.4
0500000US08111,"San Juan County, Colorado",18.2,76.2,0.0,1.0,0.0,4.6
0500000US08113,"San Miguel County, Colorado",11.7,84.0,1.0,0.1,0.6,2.5
0500000US08115,"Sedgwick County, Colorado",19.4,72.7,1.0,0.1,1.8,4.5
0500000US08117,"Summit County, Colorado",17.2,74.5,0.4,0.3,1.5,5.7
0500000US08119,"Teller County, Colorado",7.7,83.9,0.9,0.0,0.3,6.5
0500000US08121,"Washington County, Colorado",11.8,83.3,1.1,0.0,0.6,2.6
0500000US08123,"Weld County, Colorado",31.0,62.0,1.3,0.3,1.6,3.2
0500000US08125,"Yuma County, Colorado",30.3,66.9,0.3,0.8,0.0,1.4
0500000US09110,"Capitol Planning Region, Connecticut",17.7,60.0,11.5,0.1,6.0,4.1
0500000US09120,"Greater Bridgeport Planning Region, Connecticut",26.7,51.9,11.3,0.1,5.1,3.5
0500000US09130,"Lower Connecticut River Valley Planning Region, Connecticut",7.8,79.2,4.4,0.0,3.4,4.6
0500000US09140,"Naugatuck Valley Planning Region, Connecticut",19.9,59.8,10.6,0.0,3.8,5.0
0500000US09150,"Northeastern Connecticut Planning Region, Connecticut",5.2,86.3,1.4,0.1,1.3,5.1
0500000US09160,"Northwest Hills Planning Region, Connecticut",8.9,81.8,2.4,0.0,2.1,4.2
0500000US09170,"South Central Connecticut Planning Region, Connecticut",19.5,58.5,13.0,0.1,4.5,3.5
0500000US09180,"Southeastern Connecticut Planning Region, Connecticut",15.0,70.6,4.9,0.3,3.7,4.8
0500000US09190,"Western Connecticut Planning Region, Connecticut",20.5,58.6,9.3,0.1,5.4,4.8
